m,b,t,c
7,7,31375.71429,0.06052414
7,7,7071.142857,0.013640322
7,7,5894.285714,0.01137015
7,8,22,4.24383E-05
7,8,19289.14286,0.037208995
7,8,7245.428571,0.013976521
7,8,6489.428571,0.012518188
7,8,2667.857143,0.005146329
7,8,10084.85714,0.019453814
7,8,8481.142857,0.016360229
7,8,10255.71429,0.019783399
7,8,5494.714286,0.010599372
7,8,7268.428571,0.014020888
7,9,14371.57143,0.027722939
7,9,6948.714286,0.013404156
7,9,767.2857143,0.001480104
7,9,3306.142857,0.00637759
7,9,6617.714286,0.012765653
7,9,10332.71429,0.019931933
7,9,1604.285714,0.003094687
7,9,19621.14286,0.037849427
7,9,16918.71429,0.032636409
7,9,49163.42857,0.094836861
7,10,21830.71429,0.042111717
7,10,76798.42857,0.148145117
7,10,5328.857143,0.010279431
7,10,3858.714286,0.007443507
7,10,11230.71429,0.021664187
7,10,45049.28571,0.086900628
7,10,29865.57143,0.057611056
7,10,1596.428571,0.00307953
7,10,51103.28571,0.098578869
7,10,383,0.000738812
7,11,11243.14286,0.021688161
7,11,13322.57143,0.025699405
7,11,2271.428571,0.004381614
7,11,9984.142857,0.019259535
7,11,17641.57143,0.034030809
7,11,28161.71429,0.054324295
7,11,15774.71429,0.030429619
7,11,8239.714286,0.015894511
7,11,11462.14286,0.022110615
7,11,10080,0.019444444
7,12,1256.714286,0.002424217
7,12,5276.142857,0.010177745
7,12,28127,0.05425733
7,12,6130.571429,0.011825948
7,12,9946.142857,0.019186232
7,12,6675.857143,0.012877811
